Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,
2019-06-15 20-31-35,143,0,2019-06-15 20-31-34,161,0,2019-06-15 20-31-35,182,0,
2019-06-15 20-31-36,144,0,2019-06-15 20-31-35,161,0,2019-06-15 20-31-36,181,0,
2019-06-15 20-31-37,143,0,2019-06-15 20-31-36,161,0,2019-06-15 20-31-37,181,0,
2019-06-15 20-31-38,143,0,2019-06-15 20-31-37,161,0,2019-06-15 20-31-39,181,0,
2019-06-15 20-31-39,143,0,2019-06-15 20-31-38,160,0,2019-06-15 20-31-39,182,0,
2019-06-15 20-31-40,142,0,2019-06-15 20-31-39,160,0,2019-06-15 20-31-41,184,0,
2019-06-15 20-31-41,144,0,2019-06-15 20-31-40,160,0,2019-06-15 20-31-42,184,0,
2019-06-15 20-31-42,144,0,2019-06-15 20-31-41,160,0,2019-06-15 20-31-43,184,0,
2019-06-15 20-31-43,143,0,2019-06-15 20-31-42,160,0,2019-06-15 20-31-44,184,0,
2019-06-15 20-31-44,143,0,2019-06-15 20-31-43,160,0,2019-06-15 20-31-45,184,0,
2019-06-15 20-31-45,142,0,2019-06-15 20-31-44,160,0,2019-06-15 20-31-46,183,0,
2019-06-15 20-31-46,142,0,2019-06-15 20-31-45,160,0,2019-06-15 20-31-47,183,0,
2019-06-15 20-31-47,141,0,2019-06-15 20-31-46,160,0,2019-06-15 20-31-48,183,0,
2019-06-15 20-31-48,140,0,2019-06-15 20-31-47,159,0,2019-06-15 20-31-49,183,0,
2019-06-15 20-31-49,140,0,2019-06-15 20-31-48,159,0,2019-06-15 20-31-50,183,0,
2019-06-15 20-31-50,142,0,2019-06-15 20-31-49,159,0,2019-06-15 20-31-51,184,0,
2019-06-15 20-31-51,142,0,2019-06-15 20-31-50,159,0,2019-06-15 20-31-52,184,0,
2019-06-15 20-31-52,142,0,2019-06-15 20-31-51,161,0,2019-06-15 20-31-53,184,0,
2019-06-15 20-31-53,140,0,2019-06-15 20-31-52,162,0,2019-06-15 20-31-54,184,0,
2019-06-15 20-31-54,141,0,2019-06-15 20-31-53,162,0,2019-06-15 20-31-55,184,0,
2019-06-15 20-31-55,143,0,2019-06-15 20-31-54,162,0,2019-06-15 20-31-56,183,0,
2019-06-15 20-31-56,143,0,2019-06-15 20-31-55,162,0,2019-06-15 20-31-57,183,0,
2019-06-15 20-31-57,144,0,2019-06-15 20-31-56,162,0,2019-06-15 20-31-58,186,0,
2019-06-15 20-31-58,145,0,2019-06-15 20-31-57,161,0,2019-06-15 20-31-59,186,0,
2019-06-15 20-31-59,144,0,2019-06-15 20-31-58,161,0,2019-06-15 20-32-00,185,0,
2019-06-15 20-32-00,143,0,2019-06-15 20-31-59,161,0,2019-06-15 20-32-01,185,0,
2019-06-15 20-32-01,145,0,2019-06-15 20-32-00,161,0,2019-06-15 20-32-02,185,0,
2019-06-15 20-32-02,144,0,2019-06-15 20-32-01,161,0,2019-06-15 20-32-03,185,0,
2019-06-15 20-32-03,145,0,2019-06-15 20-32-02,161,0,2019-06-15 20-32-04,185,0,
2019-06-15 20-32-04,144,0,2019-06-15 20-32-03,161,0,2019-06-15 20-32-05,185,0,
2019-06-15 20-32-05,144,0,2019-06-15 20-32-04,161,0,2019-06-15 20-32-06,185,0,
2019-06-15 20-32-06,143,0,2019-06-15 20-32-05,161,0,2019-06-15 20-32-07,185,0,
2019-06-15 20-32-07,142,0,2019-06-15 20-32-06,160,0,2019-06-15 20-32-08,185,0,
2019-06-15 20-32-08,144,0,2019-06-15 20-32-07,160,0,2019-06-15 20-32-09,185,0,
2019-06-15 20-32-09,145,0,2019-06-15 20-32-08,160,0,2019-06-15 20-32-10,184,0,
2019-06-15 20-32-10,146,0,2019-06-15 20-32-09,160,0,2019-06-15 20-32-11,184,0,
2019-06-15 20-32-11,145,0,2019-06-15 20-32-10,160,0,2019-06-15 20-32-12,184,0,
2019-06-15 20-32-12,148,0,2019-06-15 20-32-11,161,0,2019-06-15 20-32-13,184,0,
2019-06-15 20-32-13,148,0,2019-06-15 20-32-12,161,0,2019-06-15 20-32-14,184,0,
2019-06-15 20-32-14,146,0,2019-06-15 20-32-13,162,0,2019-06-15 20-32-15,184,0,
2019-06-15 20-32-15,146,0,2019-06-15 20-32-14,162,0,2019-06-15 20-32-16,184,0,
2019-06-15 20-32-16,146,0,2019-06-15 20-32-15,163,0,2019-06-15 20-32-17,184,0,
2019-06-15 20-32-17,145,0,2019-06-15 20-32-16,163,0,2019-06-15 20-32-18,186,0,
2019-06-15 20-32-18,144,0,2019-06-15 20-32-17,163,0,2019-06-15 20-32-19,187,0,
2019-06-15 20-32-19,143,0,2019-06-15 20-32-18,163,0,2019-06-15 20-32-20,188,0,
2019-06-15 20-32-20,143,0,2019-06-15 20-32-19,162,0,2019-06-15 20-32-21,188,0,
2019-06-15 20-32-21,143,0,2019-06-15 20-32-20,162,0,2019-06-15 20-32-22,189,0,
2019-06-15 20-32-22,144,0,2019-06-15 20-32-21,163,0,2019-06-15 20-32-23,189,0,
2019-06-15 20-32-23,143,0,2019-06-15 20-32-22,162,0,2019-06-15 20-32-24,189,0,
2019-06-15 20-32-24,142,0,2019-06-15 20-32-23,162,0,2019-06-15 20-32-25,189,0,
2019-06-15 20-32-25,142,0,2019-06-15 20-32-24,162,0,2019-06-15 20-32-26,189,0,
2019-06-15 20-32-26,141,0,2019-06-15 20-32-25,162,0,2019-06-15 20-32-27,188,0,
