Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIM,HR,CPM,TIME,HR,CPM,
2019-06-12 11-00-22,133,0,2019-06-12 11-00-22,135,0,2019-06-12 11-00-22,135,0,2019-06-12 11-00-22,135,0,
2019-06-12 11-00-23,134,0,2019-06-12 11-00-23,135,0,2019-06-12 11-00-23,135,0,2019-06-12 11-00-23,137,0,
2019-06-12 11-00-24,134,0,2019-06-12 11-00-24,135,0,2019-06-12 11-00-24,135,0,2019-06-12 11-00-24,139,0,
2019-06-12 11-00-25,135,0,2019-06-12 11-00-25,135,0,2019-06-12 11-00-25,135,0,2019-06-12 11-00-25,138,0,
2019-06-12 11-00-26,135,0,2019-06-12 11-00-26,135,0,2019-06-12 11-00-26,135,0,2019-06-12 11-00-26,139,0,
2019-06-12 11-00-27,135,0,2019-06-12 11-00-27,135,0,2019-06-12 11-00-27,135,0,2019-06-12 11-00-27,139,0,
2019-06-12 11-00-28,135,0,2019-06-12 11-00-28,135,0,2019-06-12 11-00-28,135,0,2019-06-12 11-00-28,138,0,
2019-06-12 11-00-29,135,0,2019-06-12 11-00-29,135,0,2019-06-12 11-00-29,135,0,2019-06-12 11-00-29,138,0,
2019-06-12 11-00-30,135,0,2019-06-12 11-00-30,135,0,2019-06-12 11-00-30,135,0,2019-06-12 11-00-30,137,0,
2019-06-12 11-00-31,135,0,2019-06-12 11-00-31,135,0,2019-06-12 11-00-31,135,0,2019-06-12 11-00-31,136,0,
2019-06-12 11-00-32,135,0,2019-06-12 11-00-32,135,0,2019-06-12 11-00-32,138,0,2019-06-12 11-00-32,136,0,
2019-06-12 11-00-33,135,0,2019-06-12 11-00-33,135,0,2019-06-12 11-00-33,137,0,2019-06-12 11-00-33,138,0,
2019-06-12 11-00-34,137,0,2019-06-12 11-00-34,135,0,2019-06-12 11-00-34,137,0,2019-06-12 11-00-34,139,0,
2019-06-12 11-00-35,137,0,2019-06-12 11-00-35,138,0,2019-06-12 11-00-35,139,0,2019-06-12 11-00-35,140,0,
