Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,
2019-06-12 11-25-55,141,0,2019-06-12 11-25-55,144,0,2019-06-12 11-25-54,142,0,2019-06-12 11-25-54,145,0,
2019-06-12 11-25-56,140,0,2019-06-12 11-25-56,143,0,2019-06-12 11-25-55,142,0,2019-06-12 11-25-55,145,0,
2019-06-12 11-25-57,142,0,2019-06-12 11-25-57,145,0,2019-06-12 11-25-56,142,0,2019-06-12 11-25-56,144,0,
2019-06-12 11-25-58,142,0,2019-06-12 11-25-58,145,0,2019-06-12 11-25-57,142,0,2019-06-12 11-25-57,146,0,
2019-06-12 11-25-59,144,0,2019-06-12 11-25-59,146,0,2019-06-12 11-25-58,142,0,2019-06-12 11-25-58,145,0,
2019-06-12 11-26-00,144,0,2019-06-12 11-26-00,145,0,2019-06-12 11-25-59,141,0,2019-06-12 11-25-59,145,0,
2019-06-12 11-26-01,143,0,2019-06-12 11-26-01,145,0,2019-06-12 11-26-00,141,0,2019-06-12 11-26-00,146,0,
2019-06-12 11-26-02,143,0,2019-06-12 11-26-02,144,0,2019-06-12 11-26-01,141,0,2019-06-12 11-26-01,146,0,
2019-06-12 11-26-03,143,0,2019-06-12 11-26-03,144,0,2019-06-12 11-26-02,141,0,2019-06-12 11-26-02,145,0,
2019-06-12 11-26-04,142,0,2019-06-12 11-26-04,143,0,2019-06-12 11-26-03,141,0,2019-06-12 11-26-03,146,0,
2019-06-12 11-26-05,142,0,2019-06-12 11-26-05,143,0,2019-06-12 11-26-04,141,0,2019-06-12 11-26-04,146,0,
2019-06-12 11-26-06,142,0,2019-06-12 11-26-06,143,0,2019-06-12 11-26-05,141,0,2019-06-12 11-26-05,145,0,
2019-06-12 11-26-07,142,0,2019-06-12 11-26-07,143,0,2019-06-12 11-26-06,141,0,2019-06-12 11-26-06,146,0,
2019-06-12 11-26-08,142,0,2019-06-12 11-26-08,142,0,2019-06-12 11-26-07,141,0,2019-06-12 11-26-07,145,0,
2019-06-12 11-26-09,142,0,2019-06-12 11-26-09,142,0,2019-06-12 11-26-08,141,0,2019-06-12 11-26-08,145,0,
2019-06-12 11-26-10,142,0,2019-06-12 11-26-10,142,0,2019-06-12 11-26-09,141,0,2019-06-12 11-26-09,146,0,
2019-06-12 11-26-11,142,0,2019-06-12 11-26-11,142,0,2019-06-12 11-26-10,141,0,2019-06-12 11-26-10,146,0,
2019-06-12 11-26-12,141,0,2019-06-12 11-26-12,142,0,2019-06-12 11-26-11,141,0,2019-06-12 11-26-11,145,0,
2019-06-12 11-26-13,141,0,2019-06-12 11-26-13,142,0,2019-06-12 11-26-12,141,0,2019-06-12 11-26-12,146,0,
2019-06-12 11-26-14,141,0,2019-06-12 11-26-14,142,0,2019-06-12 11-26-13,141,0,2019-06-12 11-26-13,145,0,
2019-06-12 11-26-15,141,0,2019-06-12 11-26-15,141,0,2019-06-12 11-26-14,141,0,2019-06-12 11-26-14,146,0,
2019-06-12 11-26-16,141,0,2019-06-12 11-26-16,141,0,2019-06-12 11-26-15,141,0,2019-06-12 11-26-15,146,0,
2019-06-12 11-26-17,141,0,2019-06-12 11-26-17,141,0,2019-06-12 11-26-16,141,0,2019-06-12 11-26-16,145,0,
2019-06-12 11-26-18,140,0,2019-06-12 11-26-18,141,0,2019-06-12 11-26-17,141,0,2019-06-12 11-26-17,146,0,
2019-06-12 11-26-19,140,0,2019-06-12 11-26-19,141,0,2019-06-12 11-26-18,141,0,2019-06-12 11-26-18,146,0,
2019-06-12 11-26-20,140,0,2019-06-12 11-26-20,142,0,2019-06-12 11-26-19,141,0,2019-06-12 11-26-19,146,0,
2019-06-12 11-26-21,140,0,2019-06-12 11-26-21,142,0,2019-06-12 11-26-20,141,0,2019-06-12 11-26-20,146,0,
2019-06-12 11-26-22,140,0,2019-06-12 11-26-22,142,0,2019-06-12 11-26-21,141,0,2019-06-12 11-26-21,146,0,
2019-06-12 11-26-23,141,0,2019-06-12 11-26-23,142,0,2019-06-12 11-26-22,141,0,2019-06-12 11-26-22,145,0,
2019-06-12 11-26-24,142,0,2019-06-12 11-26-24,145,0,2019-06-12 11-26-23,141,0,2019-06-12 11-26-23,145,0,
2019-06-12 11-26-25,142,0,2019-06-12 11-26-25,144,0,2019-06-12 11-26-24,141,0,2019-06-12 11-26-24,144,0,
2019-06-12 11-26-26,141,0,2019-06-12 11-26-26,143,0,2019-06-12 11-26-25,141,0,2019-06-12 11-26-25,144,0,
2019-06-12 11-26-27,141,0,2019-06-12 11-26-27,143,0,2019-06-12 11-26-26,141,0,2019-06-12 11-26-26,143,0,
2019-06-12 11-26-28,141,0,2019-06-12 11-26-28,143,0,2019-06-12 11-26-27,141,0,2019-06-12 11-26-27,142,0,
2019-06-12 11-26-29,141,0,2019-06-12 11-26-29,142,0,2019-06-12 11-26-28,140,0,2019-06-12 11-26-28,142,0,
2019-06-12 11-26-30,141,0,2019-06-12 11-26-30,141,0,2019-06-12 11-26-29,140,0,2019-06-12 11-26-29,141,0,
2019-06-12 11-26-31,141,0,2019-06-12 11-26-31,141,0,2019-06-12 11-26-30,140,0,2019-06-12 11-26-30,141,0,
2019-06-12 11-26-32,141,0,2019-06-12 11-26-32,141,0,2019-06-12 11-26-31,141,0,2019-06-12 11-26-31,141,0,
